weight,firstName,middleName,lastName,currentTeamId,birthDate,height,wyId,foot,shortName,currentNationalTeamId,passportArea.name,passportArea.id,passportArea.alpha3code,passportArea.alpha2code,role.code2,role.code3,role.name,birthArea.name,birthArea.id,birthArea.alpha3code,birthArea.alpha2code
78,Stefan,,de Vrij,3162,5/2/1992,189,130,right,S. de Vrij,null,Netherlands,528,NLD,NL,DF,DEF,Defender,Netherlands,528,NLD,NL
78,Karim,,El Ahmadi Al Aroos,16469,27/1/1985,179,142,right,K. El Ahmadi,16216,Morocco,504,MAR,MA,MD,MID,Midfielder,Netherlands,528,NLD,NL
79,John,,Guidetti,696,15/4/1992,185,151,right,J. Guidetti,7047,Sweden,752,SWE,SE,FW,FWD,Forward,Sweden,752,SWE,SE
86,Volkan,,Babacan,4535,11/8/1988,192,32923,right,V. Babacan,4687,Turkey,792,TUR,TR,GK,GKP,Goalkeeper,Turkey,792,TUR,TR
78,Jeffrey,,Gouweleeuw,2481,10/7/1991,188,159,right,J. Gouweleeuw,null,Netherlands,528,NLD,NL,DF,DEF,Defender,Netherlands,528,NLD,NL
72,Filip,,Đuričić,3219,30/1/1992,181,174,right,F. Đuričić,null,Serbia,688,SRB,RS,MD,MID,Midfielder,Serbia,688,SRB,RS
70,Peter,,Pekarík,2457,30/10/1986,176,32959,right,P. Pekarík,14496,Slovakia,703,SVK,SK,DF,DEF,Defender,Slovakia,703,SVK,SK
93,Jagoš,,Vuković,3194,10/6/1988,195,192,left,J. Vuković,null,Serbia,688,SRB,RS,DF,DEF,Defender,Serbia,688,SRB,RS
77,Nordin,,Amrabat,16470,31/3/1987,178,32968,right,N. Amrabat,16216,Morocco,504,MAR,MA,FW,FWD,Forward,Netherlands,528,NLD,NL
72,Christian,,Kouakou Yao,3783,1/3/1991,182,131321,right,C. Kouakou,null,Côte d'Ivoire,384,CIV,CI,FW,FWD,Forward,Côte d'Ivoire,384,CIV,CI
71,Roberto José,,Rosales Altuve,683,20/11/1988,175,254,right,R. Rosales,null,Venezuela,862,VEN,VE,DF,DEF,Defender,Venezuela,862,VEN,VE
80,Nacer,,Chadli,1627,2/8/1989,187,261,right,N. Chadli,5629,Morocco,504,MAR,MA,MD,MID,Midfielder,Belgium,56,BEL,BE
76,Robin,,Gosens,3172,5/6/1994,183,295176,left,R. Gosens,null,Netherlands,528,NLD,NL,DF,DEF,Defender,Germany,276,DEU,DE
78,Yacine,,Bammou,3770,11/9/1991,188,229697,right,Y. Bammou,null,Morocco,504,MAR,MA,FW,FWD,Forward,France,250,FRA,FR
86,Florian,,Le Joncour,3783,3/2/1995,193,328021,left,F. Le Joncour,null,France,250,FRA,FR,DF,DEF,Defender,France,250,FRA,FR
78,André,,Ramalho Silva,8743,16/2/1992,182,65880,right,André Ramalho,null,Brazil,76,BRA,BR,DF,DEF,Defender,Brazil,76,BRA,BR
69,Davide,,Borsellini,3163,4/1/1999,180,393566,left,D. Borsellini,null,Italy,380,ITA,IT,GK,GKP,Goalkeeper,Italy,380,ITA,IT
81,Leon-Aderemi,,Balogun,1651,28/6/1988,190,16443,right,L. Balogun,16823,Nigeria,566,NGA,NG,DF,DEF,Defender,Germany,276,DEU,DE
70,Godfred,,Donsah,3166,7/6/1996,175,295273,right,G. Donsah,17527,Ghana,288,GHA,GH,MD,MID,Midfielder,Ghana,288,GHA,GH
82,Hyun-Jun,,Suk,3795,29/6/1991,190,382,right,Suk Hyun-Jun,null,Korea Republic,410,KOR,KR,FW,FWD,Forward,Korea Republic,410,KOR,KR
76,Dušan,,Tadić,9,20/11/1988,181,383,left,D. Tadić,17322,Serbia,688,SRB,RS,MD,MID,Midfielder,Serbia,688,SRB,RS
80,Bram,,Nuytinck,3163,4/5/1990,190,394,left,B. Nuytinck,null,Netherlands,528,NLD,NL,DF,DEF,Defender,Netherlands,528,NLD,NL
78,Lasse,,Schöne,9,27/5/1986,177,405,right,L. Schöne,7712,Denmark,208,DNK,DK,MD,MID,Midfielder,Denmark,208,DNK,DK
56,Ablie,,Jallow,3777,14/11/1998,166,376908,left,A. Jallow,null,Gambia,270,GMB,GM,MD,MID,Midfielder,Gambia,270,GMB,GM
75,Bogdan Sorin,,Stancu,4502,28/6/1987,183,33235,right,B. Stancu,null,Romania,642,ROU,RO,FW,FWD,Forward,Romania,642,ROU,RO
90,Gregor,,Kobel,2482,6/12/1997,194,328190,right,G. Kobel,null,Switzerland,756,CHE,CH,GK,GKP,Goalkeeper,Switzerland,756,CHE,CH
80,Denis Lemi,,Zakaria Lako Lado,2454,20/11/1996,191,360992,right,D. Zakaria,6697,Congo DR,180,COD,CD,MD,MID,Midfielder,Switzerland,756,CHE,CH
76,Marten,,de Roon,3172,29/3/1991,185,625,right,M. de Roon,null,Netherlands,528,NLD,NL,MD,MID,Midfielder,Netherlands,528,NLD,NL
75,Alex,,Iwobi,1609,3/5/1996,180,230020,right,A. Iwobi,16823,England,0,XEN,,MD,MID,Midfielder,Nigeria,566,NGA,NG
77,Lorenzo,,Pellegrini,3158,19/6/1996,186,328333,right,L. Pellegrini,3757,Italy,380,ITA,IT,MD,MID,Midfielder,Italy,380,ITA,IT
75,Mohamed Salim,,Fares,3194,15/2/1996,183,328336,left,M. Fares,null,Algeria,12,DZA,DZ,FW,FWD,Forward,France,250,FRA,FR
73,Otávio Henrique,,Passos Santos,3772,4/5/1994,176,295569,right,Otávio,null,Brazil,76,BRA,BR,MD,MID,Midfielder,Brazil,76,BRA,BR
72,Hernán Darío,,Toledo,714,17/1/1996,180,393881,right,H. Toledo,null,Argentina,32,ARG,AR,FW,FWD,Forward,Argentina,32,ARG,AR
78,Maya,,Yoshida,1619,24/8/1988,189,703,right,M. Yoshida,12913,Japan,392,JPN,JP,DF,DEF,Defender,Japan,392,JPN,JP
78,Bryan,,Passi,3787,5/8/1997,189,426692,right,B. Passi,null,Congo,178,COG,CG,DF,DEF,Defender,France,250,FRA,FR
73,Hamza,,Mendyl,2449,21/10/1997,179,426702,left,H. Mendyl,16216,Côte d'Ivoire,384,CIV,CI,DF,DEF,Defender,Morocco,504,MAR,MA
70,Anthony,,Caci,3779,1/7/1997,184,426714,right,A. Caci,null,France,250,FRA,FR,MD,MID,Midfielder,France,250,FRA,FR
77,Miguel Ángel,,Guerrero Martín,712,12/7/1990,182,5481,right,Guerrero,null,Spain,724,ESP,ES,FW,FWD,Forward,Spain,724,ESP,ES
75,Róbert,,Mazáň,692,9/2/1994,180,786,left,R. Mazáň,14496,Slovakia,703,SVK,SK,DF,DEF,Defender,Slovakia,703,SVK,SK
71,Martin,,Terrier,3779,4/3/1997,183,394006,right,M. Terrier,4425,France,250,FRA,FR,FW,FWD,Forward,France,250,FRA,FR
75,Théodore,,Efouba Ayissi,,5/5/1997,184,394008,right,T. Efouba Ayissi,null,France,250,FRA,FR,DF,DEF,Defender,Cameroon,120,CMR,CM
72,Tyronne,,Ebuehi,9607,16/12/1995,187,332821,right,T. Ebuehi,16823,Nigeria,566,NGA,NG,DF,DEF,Defender,Netherlands,528,NLD,NL
65,Patrick,,Burner,3775,11/4/1996,170,328488,right,P. Burner,null,France,250,FRA,FR,DF,DEF,Defender,Martinique,474,MTQ,MQ
64,Samuel,,Grandsir,3795,14/8/1996,168,295761,right,S. Grandsir,4425,France,250,FRA,FR,FW,FWD,Forward,France,250,FRA,FR
0,Víctor,,López Ibáñez,696,12/5/1997,0,404285,right,Víctor López,null,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
65,Jean Michaël,,Seri,3775,19/7/1991,168,131959,right,J. Seri,null,Côte d'Ivoire,384,CIV,CI,MD,MID,Midfielder,Côte d'Ivoire,384,CIV,CI
77,Gerard,,Gumbau Garriga,712,18/12/1994,187,263091,left,Gumbau,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
68,Pablo,,Maffeo Becerra,756,12/7/1997,173,263105,right,Pablo Maffeo,1604,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
78,Artur,,Jędrzejczyk,13505,4/11/1987,189,99381,right,A. Jędrzejczyk,13869,Poland,616,POL,PL,DF,DEF,Defender,Poland,616,POL,PL
75,Maciej,,Rybus,13887,19/8/1989,173,99391,left,M. Rybus,13869,Poland,616,POL,PL,DF,DEF,Defender,Poland,616,POL,PL
82,Marcin,,Kamiński,2445,15/1/1992,192,99410,left,M. Kamiński,null,Poland,616,POL,PL,DF,DEF,Defender,Poland,616,POL,PL
76,Karim,,Onisiwo,2460,17/3/1992,188,66654,right,K. Onisiwo,null,Austria,40,AUT,AT,MD,MID,Midfielder,Austria,40,AUT,AT
81,Artjoms,,Rudņevs,,13/1/1988,183,99425,left,A. Rudņevs,null,Russia,643,RUS,RU,FW,FWD,Forward,Latvia,428,LVA,LV
83,Łukasz,,Skorupski,3158,5/5/1991,190,99430,right,Ł. Skorupski,null,Poland,616,POL,PL,GK,GKP,Goalkeeper,Poland,616,POL,PL
76,Paweł,,Olkowski,2463,13/2/1990,184,99437,right,P. Olkowski,null,Poland,616,POL,PL,DF,DEF,Defender,Poland,616,POL,PL
78,Arkadiusz,,Milik,3187,28/2/1994,186,99452,left,A. Milik,13869,Poland,616,POL,PL,FW,FWD,Forward,Poland,616,POL,PL
72,Préjuce Niguimbé,,Nakoulma,,21/4/1987,178,99453,right,P. Nakoulma,null,Burkina Faso,854,BFA,BF,FW,FWD,Forward,Burkina Faso,854,BFA,BF
76,Gianluca,,Pegolo,3315,25/3/1981,183,20771,left,G. Pegolo,null,Italy,380,ITA,IT,GK,GKP,Goalkeeper,Italy,380,ITA,IT
72,Mariusz,,Stępiński,3165,12/5/1995,183,99511,right,M. Stępiński,null,Poland,616,POL,PL,FW,FWD,Forward,Poland,616,POL,PL
89,Duje,,Ćaleta-Car,3771,17/9/1996,192,230626,right,D. Ćaleta-Car,9598,Croatia,191,HRV,HR,DF,DEF,Defender,Croatia,191,HRV,HR
92,Edvinas,,Gertmonas,3774,1/6/1996,192,240507,right,E. Gertmonas,13503,Lithuania,440,LTU,LT,GK,GKP,Goalkeeper,Lithuania,440,LTU,LT
74,Hrvoje,,Milić,,10/5/1989,183,69874,left,H. Milić,null,Croatia,191,HRV,HR,DF,DEF,Defender,Croatia,191,HRV,HR
70,Jonathan,,Klinsmann,2457,8/4/1997,194,492782,right,J. Klinsmann,8140,Germany,276,DEU,DE,GK,GKP,Goalkeeper,United States,840,USA,US
80,Francesco,,Vicari,3204,3/8/1994,190,263432,right,F. Vicari,null,Italy,380,ITA,IT,DF,DEF,Defender,Italy,380,ITA,IT
70,Alex,,Ferrari,3194,1/7/1994,183,263433,right,A. Ferrari,null,Italy,380,ITA,IT,DF,DEF,Defender,Italy,380,ITA,IT
88,Emil,,Berggreen,2460,10/5/1993,194,230687,right,E. Berggreen,null,Croatia,191,HRV,HR,FW,FWD,Forward,Denmark,208,DNK,DK
88,Igor,,Lewczuk,3772,30/5/1985,189,99633,right,I. Lewczuk,null,Poland,616,POL,PL,DF,DEF,Defender,Poland,616,POL,PL
76,Cheick,,Keita,3166,16/4/1996,182,361779,left,C. Keita,19001,Mali,466,MLI,ML,DF,DEF,Defender,France,250,FRA,FR
69,Carlos,,Calderón López,698,14/4/1995,182,329026,right,Carlos Calderón,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
80,Thiago,,Rangel Cionek,3204,21/4/1986,183,99661,right,T. Cionek,13869,Poland,616,POL,PL,DF,DEF,Defender,Brazil,76,BRA,BR
73,Rodrigo,,Bentancur Colmán,3159,25/6/1997,185,361807,right,R. Bentancur,15670,Uruguay,858,URY,UY,MD,MID,Midfielder,Uruguay,858,URY,UY
76,Bernardo,,Fernandes da Silva Junior,2975,14/5/1995,186,296341,left,Bernardo,null,Brazil,76,BRA,BR,DF,DEF,Defender,Brazil,76,BRA,BR
81,Rafał,,Gikiewicz,2453,26/10/1987,190,99749,right,R. Gikiewicz,null,Poland,616,POL,PL,GK,GKP,Goalkeeper,Poland,616,POL,PL
85,Alessandro,,Deiola,3173,1/8/1995,190,263591,right,A. Deiola,null,Italy,380,ITA,IT,MD,MID,Midfielder,Italy,380,ITA,IT
73,Nadiem,,Amiri,2482,27/10/1996,180,263614,right,N. Amiri,3155,Afghanistan,4,AFG,AF,MD,MID,Midfielder,Germany,276,DEU,DE
78,Yeray,,Álvarez López,678,24/1/1995,183,230857,right,Yeray,null,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
73,Íñigo,,Lekue Martínez,678,4/5/1993,180,230862,right,Lekue,null,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
84,Ali,,Gabr,27533,10/1/1989,193,198120,right,Ali Gabr,16129,Egypt,818,EGY,EG,DF,DEF,Defender,Egypt,818,EGY,EG
70,Pere,,Pons Riera,756,20/2/1993,177,230895,right,Pere Pons,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
65,Federico Nicolás,,Cartabia,677,20/1/1993,169,230897,left,Fede Cartabia,null,Italy,380,ITA,IT,MD,MID,Midfielder,Argentina,32,ARG,AR
77,Bartosz,,Bereszyński,3164,12/7/1992,183,99833,right,B. Bereszyński,13869,Poland,616,POL,PL,DF,DEF,Defender,Poland,616,POL,PL
81,Ólafur Ingi,,Skúlason,7727,1/4/1983,183,38241,right,Ó. Skúlason,7839,Iceland,352,ISL,IS,MD,MID,Midfielder,Iceland,352,ISL,IS
79,Dominik,,Kohr,2446,31/1/1994,183,165425,right,D. Kohr,null,Germany,276,DEU,DE,MD,MID,Midfielder,Germany,276,DEU,DE
75,Piotr,,Zieliński,3187,20/5/1994,180,99902,right,P. Zieliński,13869,Poland,616,POL,PL,MD,MID,Midfielder,Poland,616,POL,PL
77,Jemerson,,de Jesus Nascimento,19830,24/8/1992,184,263766,right,Jemerson,null,Brazil,76,BRA,BR,DF,DEF,Defender,Brazil,76,BRA,BR
72,Youri,,Tielemans,19830,7/5/1997,176,263802,right,Y. Tielemans,5629,Congo DR,180,COD,CD,MD,MID,Midfielder,Belgium,56,BEL,BE
80,Timothy,,Castagne,3172,5/12/1995,185,263803,right,T. Castagne,null,Belgium,56,BEL,BE,DF,DEF,Defender,Belgium,56,BEL,BE
71,Kenny,,Tete,3766,9/10/1995,180,1712,right,K. Tete,664,Ghana,288,GHA,GH,DF,DEF,Defender,Netherlands,528,NLD,NL
71,Viktor,,Fischer,7452,9/6/1994,180,1722,right,V. Fischer,7712,Denmark,208,DNK,DK,FW,FWD,Forward,Denmark,208,DNK,DK
74,Riechedly,,Bazoer,2451,12/10/1996,184,1729,right,R. Bazoer,670,Curaçao,531,CUW,CW,MD,MID,Midfielder,Netherlands,528,NLD,NL
80,Oussama,,Tannane,3782,23/3/1994,177,1751,left,O. Tannane,null,Morocco,504,MAR,MA,FW,FWD,Forward,Netherlands,528,NLD,NL
67,Presnel,,Kimpembe,3767,13/8/1995,183,231138,left,P. Kimpembe,4418,Congo DR,180,COD,CD,DF,DEF,Defender,France,250,FRA,FR
71,Kingsley,,Coman,2444,13/6/1996,178,231139,right,K. Coman,null,France,250,FRA,FR,FW,FWD,Forward,France,250,FRA,FR
73,Gabriel,,Barbosa Almeida,5655,30/8/1996,178,263948,left,Gabigol,null,Brazil,76,BRA,BR,FW,FWD,Forward,Brazil,76,BRA,BR
71,Mamadou,,Sissako,3795,20/4/1996,171,231184,right,M. Sissako,null,Mauritania,478,MRT,MR,FW,FWD,Forward,France,250,FRA,FR
71,Şener,,Özbayraklı,4487,23/1/1990,171,34592,right,Ş. Özbayraklı,null,Turkey,792,TUR,TR,DF,DEF,Defender,Turkey,792,TUR,TR
86,Andrey,,Semenov,13898,24/3/1989,190,102629,right,A. Semenov,14358,Russia,643,RUS,RU,DF,DEF,Defender,Russia,643,RUS,RU
71,Yoel,,Armougom,3783,5/6/1998,173,493412,left,Y. Armougom,null,France,250,FRA,FR,DF,DEF,Defender,Reunion,638,REU,RE
70,Kévin Lucien,,Zohi,3779,19/12/1996,177,493415,right,K. Zohi,null,Côte d'Ivoire,384,CIV,CI,FW,FWD,Forward,Côte d'Ivoire,384,CIV,CI
79,Igor,,Zubeldía Elorza,687,30/3/1997,180,395114,right,Zubeldía,1604,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
74,George,,Gope-Fenepej,3789,23/10/1988,182,132972,right,G. Gope-Fenepej,null,New Caledonia,540,NCL,NC,FW,FWD,Forward,New Caledonia,540,NCL,NC
80,Pierluigi,,Gollini,3172,18/3/1995,188,264084,right,P. Gollini,null,Italy,380,ITA,IT,GK,GKP,Goalkeeper,Italy,380,ITA,IT
78,Ezequiel,,Ponce Martínez,3776,29/3/1997,178,284322,right,E. Ponce,12281,Spain,724,ESP,ES,FW,FWD,Forward,Argentina,32,ARG,AR
70,Enrico,,Bearzotti,3194,20/10/1996,180,388099,right,E. Bearzotti,null,Italy,380,ITA,IT,MD,MID,Midfielder,Italy,380,ITA,IT
90,Emiliano,,Viviano,3164,1/12/1985,195,20802,left,E. Viviano,null,Italy,380,ITA,IT,GK,GKP,Goalkeeper,Italy,380,ITA,IT
87,Maximiliano,,Gómez González,692,14/8/1996,186,395636,right,Maxi Gómez,15670,Uruguay,858,URY,UY,FW,FWD,Forward,Uruguay,858,URY,UY
79,Moctar El Hacen,,El Id,695,31/12/1997,181,264778,right,M. El Id,null,Mauritania,478,MRT,MR,MD,MID,Midfielder,Mauritania,478,MRT,MR
78,Thomas,,Strakosha,3162,19/3/1995,186,166534,right,T. Strakosha,null,Albania,8,ALB,AL,GK,GKP,Goalkeeper,Greece,300,GRC,GR
78,Marcus,,Coco,3785,24/6/1996,184,330387,right,M. Coco,null,France,250,FRA,FR,MD,MID,Midfielder,Guadeloupe,312,GLP,GP
83,Joel,,Pohjanpalo,2446,13/9/1994,185,35477,right,J. Pohjanpalo,4849,Finland,246,FIN,FI,FW,FWD,Forward,Finland,246,FIN,FI
67,Miguel Ángel,,Trauco Saavedra,5654,25/8/1992,175,115146,left,M. Trauco,15594,Peru,604,PER,PE,DF,DEF,Defender,Peru,604,PER,PE
72,Vincent,,Laurini,3176,10/6/1989,173,22313,right,V. Laurini,null,France,250,FRA,FR,DF,DEF,Defender,France,250,FRA,FR
67,Firmin Ndombe,,Mubele,3780,17/4/1994,170,264989,right,F. Mubele,18538,Congo DR,180,COD,CD,FW,FWD,Forward,Congo DR,180,COD,CD
86,Antonín,,Barák,3163,3/12/1994,190,265172,left,A. Barák,11555,Czech Republic,203,CZE,CZ,MD,MID,Midfielder,Czech Republic,203,CZE,CZ
85,Manuel,,Akanji,2447,19/7/1995,187,297957,right,M. Akanji,6697,Nigeria,566,NGA,NG,DF,DEF,Defender,Switzerland,756,CHE,CH
67,Samuel ,,Castillejo Azuaga,682,18/1/1995,182,134174,left,Samu Castillejo,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
82,Filip,,Manojlović,698,25/4/1996,197,363560,right,F. Manojlović,32344,Serbia,688,SRB,RS,GK,GKP,Goalkeeper,Serbia,688,SRB,RS
73,Rubén,,Sobrino Pozuelo,696,16/2/1992,185,134249,right,Rubén Sobrino,null,Spain,724,ESP,ES,FW,FWD,Forward,Spain,724,ESP,ES
87,Vasili,,Berezutski,,20/6/1982,189,101581,right,V. Berezutski,null,Russia,643,RUS,RU,DF,DEF,Defender,Russia,643,RUS,RU
65,Julio César,,Villalba Gaona,2454,11/9/1998,174,363648,right,J. Villalba,15519,Paraguay,600,PRY,PY,FW,FWD,Forward,Paraguay,600,PRY,PY
80,Onyinye Wilfred,,Ndidi,1631,16/12/1996,187,265366,right,W. Ndidi,16823,Nigeria,566,NGA,NG,MD,MID,Midfielder,Nigeria,566,NGA,NG
72,Abdullahi,,Shehu,4502,12/3/1993,181,265368,right,A. Shehu,16823,Nigeria,566,NGA,NG,DF,DEF,Defender,Nigeria,566,NGA,NG
70,Tomáš,,Hubočan,4488,17/9/1985,184,101555,right,T. Hubočan,14496,Slovakia,703,SVK,SK,DF,DEF,Defender,Slovakia,703,SVK,SK
83,Bruno Eduardo,,Regufe Alves,3160,27/11/1981,187,101558,right,Bruno Alves,9905,Brazil,76,BRA,BR,DF,DEF,Defender,Portugal,620,PRT,PT
68,Achraf,,Hakimi Mouh,2447,4/11/1998,179,396475,right,A. Hakimi,16216,Morocco,504,MAR,MA,DF,DEF,Defender,Spain,724,ESP,ES
72,Eloi,,Amagat Arimany,756,21/5/1985,180,167104,right,Eloi Amagat,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
81,Vicente,,Guaita Panadero,698,10/1/1987,190,3267,right,Guaita,null,Spain,724,ESP,ES,GK,GKP,Goalkeeper,Spain,724,ESP,ES
68,Jordi,,Alba Ramos,676,21/3/1989,170,3269,left,Jordi Alba,1598,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
76,Antonio,,Barragán Fernández,684,12/6/1987,183,3270,right,Barragán,null,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
82,Igor,,Akinfeev,13886,8/4/1986,186,101576,right,I. Akinfeev,14358,Russia,643,RUS,RU,GK,GKP,Goalkeeper,Russia,643,RUS,RU
90,Adil,,Rami,3771,27/12/1985,190,3276,right,A. Rami,4418,Morocco,504,MAR,MA,DF,DEF,Defender,France,250,FRA,FR
78,Víctor,,Ruíz Torre,682,25/1/1989,185,3277,left,Víctor Ruíz,null,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
75,Sabin,,Merino Zuloaga,678,4/1/1992,187,167119,right,Sabin Merino,null,Spain,724,ESP,ES,FW,FWD,Forward,Spain,724,ESP,ES
71,Éver Maximiliano David,,Banega,680,29/6/1988,174,3280,right,É. Banega,12274,Spain,724,ESP,ES,MD,MID,Midfielder,Argentina,32,ARG,AR
67,Juan,,Bernat Velasco,2444,1/3/1993,170,3281,left,Juan Bernat,null,Spain,724,ESP,ES,DF,DEF,Defender,Spain,724,ESP,ES
74,Sergio,,Canales Madrazo,687,16/2/1991,180,3282,left,Canales,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
74,Daniel,,Parejo Muñoz,674,16/4/1989,182,3286,right,Dani Parejo,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
75,Cristian,,Portugués Manzanera,756,21/5/1992,178,3287,right,Portu,null,Spain,724,ESP,ES,MD,MID,Midfielder,Spain,724,ESP,ES
76,Keisuke,,Honda,8311,13/6/1986,182,101592,left,K. Honda,12913,Japan,392,JPN,JP,MD,MID,Midfielder,Japan,392,JPN,JP
82,Mehmet,,Topal,4487,3/3/1986,187,3289,right,M. Topal,null,Turkey,792,TUR,TR,MD,MID,Midfielder,Turkey,792,TUR,TR
78,Aritz,,Aduriz Zubeldia,678,11/2/1981,182,3290,right,Aduriz,null,Spain,724,ESP,ES,FW,FWD,Forward,Spain,724,ESP,ES
71,Francisco,,Alcácer García,676,30/8/1993,175,3291,right,Paco Alcácer,null,Spain,724,ESP,ES,FW,FWD,Forward,Spain,724,ESP,ES
63,Pablo Daniel,,Piatti,691,31/3/1989,163,3293,left,P. Piatti,null,Italy,380,ITA,IT,FW,FWD,Forward,Argentina,32,ARG,AR
88,Antonio,,Adán Garrido,684,13/5/1987,191,3296,left,Adán,null,Spain,724,ESP,ES,GK,GKP,Goalkeeper,Spain,724,ESP,ES
81,Fernando,,Pacheco Flores,696,18/5/1992,186,3299,left,Fernando Pacheco,null,Spain,724,ESP,ES,GK,GKP,Goalkeeper,Spain,724,ESP,ES
